pedestrianId simTime targetId-PID8 groupId-PID9
144 0.8685743857487285 4 1
47 0.8936270313567695 2 1
82 0.894726869973312 2 1
11 0.9009487671449438 2 0
64 0.9139878025319609 2 1
49 0.9352108047506211 2 1
55 0.941408844321783 2 1
126 0.9502403749853267 4 1
156 0.95240911057225 4 1
84 0.9629227577732133 2 1
123 0.9644874238346565 4 1
170 0.9652303323320294 4 1
26 0.9674222251031198 2 1
145 0.9698196951357014 4 1
199 0.9727871876730442 2 1
66 0.9775334229331218 2 1
197 0.9845779368031278 4 1
77 0.9862093615369182 2 1
157 0.9932720087388682 4 1
51 0.9972457163944586 2 1
22 0.9982400084925164 2 1
21 1.0015294210653778 2 1
12 1.005644195623257 2 0
191 1.00565423311151 4 0
138 1.0104276843789308 4 1
177 1.0105920405217323 4 1
128 1.0122610402003647 4 1
89 1.0176298639670474 2 1
28 1.0185676103707135 2 1
1 1.0195227238627445 2 0
52 1.0201840659954184 2 1
198 1.020621346263912 4 1
139 1.021021659521319 4 1
130 1.0232973898824644 4 1
104 1.0310382923579509 4 1
124 1.0342518310181796 4 1
56 1.0343106452740567 2 1
54 1.0357075871438348 2 1
34 1.038781039301215 2 1
23 1.0392765132733737 2 1
173 1.0420635480977238 4 1
65 1.0423610836409993 2 1
186 1.0436671812901188 4 1
20 1.0437515615919921 2 0
107 1.044006766262449 4 1
16 1.0529872332142567 2 0
40 1.0531001709063872 2 1
58 1.058975899057726 2 1
169 1.0602286161565984 4 1
93 1.064488562912007 2 1
188 1.0658950704334627 4 1
133 1.0663810122885489 4 1
15 1.0665676755396252 2 0
162 1.072460672018579 4 1
97 1.0724838526959544 2 1
146 1.0736533052698376 4 1
79 1.0753403064662403 2 1
5 1.0780938930201427 2 0
60 1.079470203414916 2 1
135 1.0813473968297442 4 1
7 1.0820114591347214 2 0
10 1.087257519952737 2 0
81 1.0886716089155812 2 1
98 1.0908498221781564 2 1
137 1.0919803487516961 4 1
152 1.0949907642069572 4 1
172 1.09687122199125 4 1
175 1.1000495219939128 4 1
50 1.1015653828676988 2 1
2 1.1064951406795787 2 0
182 1.1070768228473127 4 1
3 1.1075822721101405 2 0
189 1.1092691069693286 4 1
185 1.1141932454570904 4 1
18 1.1146400335990283 2 0
45 1.1159461813169729 2 1
87 1.1202882672542702 2 1
160 1.1205216209984994 4 1
78 1.120989369753059 2 1
75 1.1237315788213862 2 1
53 1.1263524019496627 2 1
200 1.1281675629037071 4 1
90 1.13018978681576 2 1
71 1.1315556190048617 2 1
61 1.1327787483772063 2 1
158 1.1343343108831638 4 1
165 1.1353646498227683 4 1
178 1.142418932973971 4 1
48 1.1427986655990676 2 1
8 1.1429469809425454 2 0
113 1.1444772565951358 4 1
30 1.1450535310349803 2 1
134 1.1467283741093715 4 1
164 1.1476207549126602 4 1
39 1.148911149801996 2 0
187 1.1508188328546447 4 1
125 1.1517018528773122 4 1
118 1.1539932486417592 4 1
25 1.154088209732509 2 1
95 1.158328250175088 2 1
80 1.1584988314940858 2 0
83 1.1585288254513004 2 1
27 1.1603290091897367 2 1
99 1.161655590628037 2 1
106 1.1650250494946583 4 1
29 1.1653708589278415 2 1
141 1.165413655320726 4 1
108 1.1698713808640333 4 1
168 1.1714853824658717 4 1
63 1.1758325037568111 2 1
62 1.1789816821863013 2 1
181 1.1791836476225577 4 1
17 1.1798153082335616 2 0
109 1.180062007599079 4 1
13 1.1803444645803831 2 0
176 1.1826965159077951 4 1
6 1.183858415292776 2 0
105 1.1858990056443273 4 1
32 1.1904842644991531 2 1
76 1.190505600246746 2 1
122 1.194673507775584 4 1
179 1.1954450168595596 4 1
85 1.1960053114566016 2 1
69 1.2020193198452953 2 1
190 1.2093096441386846 4 1
92 1.2094509823112998 2 1
115 1.2116656081616113 4 1
19 1.2140896467842357 2 0
136 1.2146966877001413 4 1
151 1.2173400561818915 4 1
132 1.2232302119349718 4 1
192 1.2276118915593714 4 1
96 1.2311348608537547 2 0
67 1.2342829845812833 2 1
86 1.2352544342844272 2 1
110 1.2380656552589144 4 1
43 1.2390066297886089 2 1
116 1.243429217948127 4 1
112 1.2448651273785518 4 1
148 1.2454004653979365 4 1
59 1.2497153881049683 2 1
184 1.2498643935178142 4 1
143 1.251575221955564 4 1
70 1.2530013672549032 2 1
68 1.2530794968888992 2 1
121 1.2558354621109242 4 1
101 1.260972734029933 4 1
73 1.269072753172595 2 1
194 1.2706068949262113 4 1
91 1.2707616943536093 2 1
31 1.2709548179772512 2 1
114 1.275890378729986 4 0
117 1.280750287784448 4 1
163 1.2812499787084497 4 1
155 1.2844395668446054 4 1
42 1.2854732173301573 2 1
37 1.2868562115795337 2 1
41 1.2929140210506354 2 1
149 1.2940607476890118 4 1
72 1.297897040440686 2 1
140 1.2984710852792951 4 1
103 1.2985165329551287 4 1
144 1.3028615786230926 4 1
180 1.3031066815550991 4 1
9 1.303480312097903 2 0
147 1.3040100262425447 4 1
57 1.3041684732876684 2 1
119 1.3083901125061215 4 1
129 1.3098968804269921 4 1
88 1.3290450048191909 2 1
171 1.3327594420240236 4 1
111 1.3350939408360378 4 1
195 1.3365253401587525 4 1
102 1.3400151888223906 4 1
47 1.3404405470351541 2 1
174 1.3444497166985672 4 1
11 1.3514231507174157 2 0
166 1.3569401597305584 4 1
14 1.3592404058557148 2 0
74 1.3652597546941492 2 1
64 1.3709817037979413 2 1
150 1.376139946710049 4 1
4 1.392744758890524 2 0
33 1.4016406748551664 2 1
100 1.4026623165573227 4 1
49 1.4028162071259316 2 1
24 1.4035791210652726 2 0
154 1.4120945395836442 4 1
55 1.4121132664826743 2 1
159 1.4146348016002313 4 1
120 1.417044935164268 4 1
126 1.42536056247799 4 1
156 1.428613665858375 4 1
127 1.4321418361382388 4 1
153 1.4379670419625061 4 1
183 1.440372390981363 4 1
84 1.44438413665982 2 1
123 1.4467311357519848 4 1
170 1.447845498498044 4 1
26 1.4511333376546798 2 1
196 1.4542920261156371 4 1
44 1.4561684340342764 2 1
94 1.465929922313471 2 0
66 1.4663001343996829 2 1
193 1.473918268791025 4 1
197 1.4768669052046917 4 1
142 1.476890680513211 4 1
77 1.4793140423053772 2 1
157 1.4899080131083022 4 1
161 1.4935640953719476 4 1
167 1.493922682631918 4 1
51 1.4958685745916878 2 1
22 1.4973600127387745 2 1
21 1.5022941315980667 2 1
12 1.5084662934348854 2 0
191 1.5084813496672649 4 0
138 1.5156415265683962 4 1
38 1.5157992686325077 2 1
177 1.5158880607825984 4 1
128 1.5183915603005471 4 1
89 1.526444795950571 2 1
28 1.5278514155560703 2 1
1 1.5292840857941168 2 0
52 1.5302760989931277 2 1
198 1.530932019395868 4 1
139 1.5315324892819786 4 1
130 1.5349460848236967 4 1
199 1.5455743753460882 2 1
104 1.5465574385369263 4 1
124 1.5513777465272693 4 1
